# Start date (t3): 2016-02-01
# Target Entropy: 8192

# Draw Id                       m  n  draw
2016-02-01_au_monday_lotto      6  45 31,29,43,36,41,13
2016-02-01_nz_keno_1            20 80 25,40,42,41,17,65,73,2,44,12,26,75,71,19,24,66,6,52,74,11
2016-02-01_fr_loto              5  49 18,36,13,40,48
2016-02-01_br_quina             5  80 22,70,25,10,79
2016-02-01_ca_daily_keno_midday 20 70 6,12,13,14,15,16,18,23,24,26,32,33,38,41,42,44,49,50,61,62
2016-02-01_nz_keno_2            20 80 57,72,67,55,76,68,56,3,58,10,52,50,30,36,24,49,40,74,37,65
2016-02-01_de_keno              20 70 1,8,13,16,17,19,21,22,24,30,31,33,38,40,42,51,53,59,63,68
2016-02-01_br_lotofacil         15 25 12,23,17,8,14,6,9,4,1,3,13,2,20,7,15
2016-02-01_fr_keno_midday       20 70 1,2,7,12,20,21,23,25,37,38,41,42,44,47,51,56,58,59,60,68
2016-02-01_nz_keno_3            20 80 56,59,74,10,38,29,63,12,65,32,64,68,39,22,55,77,26,6,34,28
2016-02-01_ca_daily_keno_night  20 70 1,6,16,18,21,27,29,32,40,44,47,50,55,56,58,61,65,66,69,70
2016-02-01_es_bonoloto          6  49 8,20,37,40,44,45
2016-02-01_nz_keno_4            20 80 24,48,3,39,72,75,43,8,20,79,63,33,71,16,6,64,34,69,67,13
2016-02-01_fr_keno_night        20 70 1,4,5,7,12,13,17,21,26,29,35,37,38,43,46,47,50,58,62,64
2016-02-01_us_ny_cash_4_life    5  60 2,9,22,43,44
2016-02-02_nz_keno_1            20 80 53,9,57,38,8,74,51,7,80,2,62,49,61,48,15,10,1,17,19,22
2016-02-02_br_quina             5  80 63,46,27,17,21
2016-02-02_au_oz_lotto          7  45 5,7,9,44,22,2,19
2016-02-02_ca_daily_keno_midday 20 70 6,7,8,11,14,20,22,27,32,34,35,41,42,48,53,54,57,58,61,63
2016-02-02_it_super_enalotto    6  90 19,38,40,56,65,80
2016-02-02_nz_keno_2            20 80 22,51,44,71,78,56,47,74,6,2,41,55,8,38,68,26,67,54,5,60
2016-02-02_de_keno              20 70 4,6,10,11,12,13,14,17,23,24,29,31,34,41,43,45,53,57,61,64
2016-02-02_fr_keno_midday       20 70 1,2,5,9,10,21,24,25,30,32,34,46,47,49,50,54,55,56,61,65
2016-02-02_nz_keno_3            20 80 9,48,64,30,16,34,79,24,74,46,32,53,13,47,10,2,50,12,52,57
2016-02-02_eu_euromillions      5  50 36,21,10,6,9
2016-02-02_ca_daily_keno_night  20 70 15,19,20,25,26,28,41,42,44,46,49,53,58,61,62,65,67,68,69,70
2016-02-02_br_dupla_sena        6  50 36,49,50,21,12,25
2016-02-02_es_bonoloto          6  49 4,6,14,31,33,46
2016-02-02_us_mega_millions     5  75 7,13,25,51,70
2016-02-02_nz_keno_4            20 80 22,19,48,78,28,8,73,53,17,16,58,38,49,11,70,55,5,46,18,62
2016-02-02_fr_keno_night        20 70 2,4,8,9,11,14,19,23,28,30,33,40,44,47,50,53,62,66,68,69
2016-02-02_uk_health_lottery    5  50 1,19,29,38,43
2016-02-03_nz_keno_1            20 80 36,74,31,5,21,39,66,14,48,38,32,6,55,77,15,42,45,16,60,58
2016-02-03_us_hot_lotto         5  47 10,34,20,44,38
2016-02-03_fr_loto              5  49 5,44,24,28,25
2016-02-03_nz_lotto             6  40 10,15,14,5,18,11
2016-02-03_br_quina             5  80 49,22,7,76,52
2016-02-03_ca_daily_keno_midday 20 70 2,9,12,15,16,17,19,20,21,22,31,41,52,54,56,59,60,62,64,65
2016-02-03_nz_keno_2            20 80 23,76,43,19,56,12,36,22,9,69,52,46,62,8,63,78,45,74,35,51
2016-02-03_ch_loto              6  42 15,17,19,33,37,38
2016-02-03_de_keno              20 70 5,8,9,12,15,21,22,23,29,37,38,40,41,46,49,52,54,56,58,66
2016-02-03_us_wild_card         5  33 11,7,4,21,19
2016-02-03_br_lotofacil         15 25 5,19,15,14,22,25,6,11,9,3,17,23,8,10,13
2016-02-03_fr_keno_midday       20 70 3,6,10,11,16,19,21,25,28,33,35,37,38,42,44,49,51,56,61,64
2016-02-03_be_lotto             6  45 6,11,23,24,29,38
2016-02-03_nz_keno_3            20 80 49,52,28,13,15,10,34,7,38,67,56,6,39,60,26,71,4,33,37,62
2016-02-03_us_powerball         5  69 26,60,67,31,28
2016-02-03_de_lotto             6  49 10,18,19,31,33,47
2016-02-03_au_wednesday_lotto   6  45 28,14,30,35,8,25
2016-02-03_ca_daily_keno_night  20 70 3,9,12,25,29,30,31,34,35,39,40,41,44,45,46,55,57,58,64,65
2016-02-03_es_bonoloto          6  49 25,35,36,40,43,45
2016-02-03_nz_keno_4            20 80 73,11,32,56,3,4,64,31,12,22,10,62,28,76,27,70,41,15,69,6
2016-02-03_us_ny_lotto          6  59 13,14,20,34,41,49
2016-02-03_fr_keno_night        20 70 3,7,9,12,14,15,20,21,30,38,44,52,56,57,58,61,62,67,68,70
2016-02-03_uk_health_lottery    5  50 7,13,20,29,32
2016-02-03_br_mega_sena         6  60 None
2016-02-03_ca_loto_649          6  49 20,23,34,38,43,47
2016-02-04_nz_keno_1            20 80 41,59,23,65,5,47,76,78,21,10,80,49,2,9,30,61,12,55,13,15
2016-02-04_br_quina             5  80 3,43,55,6,7
2016-02-04_ca_daily_keno_midday 20 70 2,4,9,10,15,16,27,29,31,35,36,37,38,52,56,58,59,63,66,69
2016-02-04_it_super_enalotto    6  90 7,21,31,39,46,69
2016-02-04_nz_keno_2            20 80 79,72,76,18,2,8,80,1,53,41,70,58,10,34,7,29,3,51,43,21
2016-02-04_es_la_primitiva      6  49 3,5,22,33,39,40
2016-02-04_de_keno              20 70 4,6,11,12,13,14,18,20,21,22,30,36,55,56,59,60,61,62,63,66
2016-02-04_fr_keno_midday       20 70 5,15,16,17,18,19,21,22,27,29,34,37,49,51,53,54,55,64,65,66
2016-02-04_nz_keno_3            20 80 24,33,17,65,27,46,11,70,56,55,34,66,15,5,72,78,31,36,76,25
2016-02-04_ca_daily_keno_night  20 70 1,5,16,23,24,25,30,31,32,34,35,37,38,42,48,55,57,59,62,66
2016-02-04_es_bonoloto          6  49 4,8,23,30,42,47
2016-02-04_nz_keno_4            20 80 40,68,73,32,24,70,79,5,45,7,80,55,47,65,31,36,14,63,37,11
2016-02-04_au_powerball         6  40 20,6,18,17,36,10
2016-02-04_fr_keno_night        20 70 2,6,21,24,28,29,31,36,39,40,44,46,48,51,52,56,58,61,62,67
2016-02-04_uk_health_lottery    5  50 2,16,17,38,39
2016-02-04_us_ny_cash_4_life    5  60 8,12,23,40,54
2016-02-05_nz_keno_1            20 80 29,72,5,19,1,79,27,24,9,21,23,58,34,51,49,16,70,56,41,10
