
# Start date (t3): 2015-10-01
# Target Entropy: 8192

# Draw Id                       m  n  draw                                                                             
2015-10-01_au_powerball         6  40 3,5,16,17,27,40                                                                  
2015-10-01_br_quina             5  80 23,32,56,76,77                                                                   
2015-10-01_ca_daily_keno_midday 20 70 15,17,18,19,21,27,28,29,33,38,41,49,50,54,56,58,59,65,69,70                      
2015-10-01_ca_daily_keno_night  20 70 1,4,7,11,19,20,29,30,32,33,34,40,41,45,46,48,50,53,54,58                         
2015-10-01_de_keno              20 70 5,9,19,20,21,23,25,27,33,35,38,43,49,52,55,56,58,59,65,70                        
2015-10-01_es_bonoloto          6  49 6,10,18,20,40,41                                                                 
2015-10-01_es_la_primitiva      6  49 11,17,30,39,45,49                                                                
2015-10-01_fr_keno_midday       20 70 1,2,4,9,12,16,20,29,36,38,43,46,47,52,53,57,60,65,68,69                          
2015-10-01_fr_keno_night        20 70 1,4,5,6,10,11,13,17,22,27,38,39,41,42,43,48,51,53,58,62                          
2015-10-01_it_super_enalotto    6  90 2,17,21,49,69,74                                                                 
2015-10-01_nz_keno_1            20 80 6,11,18,22,23,24,25,28,29,30,35,39,46,55,57,69,72,76,77,78                       
2015-10-01_nz_keno_2            20 80 5,6,7,11,13,15,19,20,21,24,25,32,33,34,38,43,47,49,57,79                         
2015-10-01_nz_keno_3            20 80 4,9,10,11,17,19,24,25,27,29,30,36,38,39,40,46,51,53,61,78                        
2015-10-01_nz_keno_4            20 80 5,10,20,23,24,26,31,33,35,37,38,41,44,45,50,59,60,70,76,79                       
2015-10-01_us_ny_cash_4_life    5  60 25,37,39,47,55                                                                   
2015-10-02_br_dupla_sena        6  50 2,12,27,34,35,47                                                                 
2015-10-02_br_lotofacil         15 25 1,2,3,5,6,8,9,10,11,13,14,15,20,23,24                                            
2015-10-02_br_quina             5  80 10,27,47,65,74                                                                   
2015-10-02_ca_daily_keno_midday 20 70 3,4,6,15,19,21,22,29,30,31,40,43,44,47,48,56,59,62,63,70                         
2015-10-02_ca_daily_keno_night  20 70 1,7,8,14,19,20,21,22,26,34,37,44,46,51,55,58,61,64,68,70                         
2015-10-02_ca_loto_max          7  49 10,12,24,26,34,43,47                                                             
2015-10-02_de_euro_jackpot      5  50 7,9,28,39,47                                                                     
2015-10-02_de_keno              20 70 3,5,6,13,17,21,23,29,32,37,39,42,45,49,51,54,58,64,68,70                         
2015-10-02_es_bonoloto          6  49 7,17,24,26,28,39                                                                 
2015-10-02_eu_euromillions      5  50 7,18,21,32,35                                                                    
2015-10-02_fr_keno_midday       20 70 1,8,10,11,17,23,25,32,34,36,42,45,47,51,57,58,63,64,66,68                        
2015-10-02_fr_keno_night        20 70 1,6,12,20,30,32,42,44,48,49,50,51,55,57,58,60,64,65,66,67                        
